OI	Chng in OI	Volume	IV	LTP	Chng	Bid Qty	Bid	Ask	Ask Qty	Strike	Bid Qty	Bid	Ask	Ask Qty	Chng	LTP	IV	Volume	Chng in OI	OI
Calls chart for row 61	56,703	7,145	2,94,461	15.93	2.45	-2.70	1,43,325	2.45	2.50	2,90,875	24,200.00	65	984.80	988.05	65	9.05	984.10	26.76	388	-2	1,006	Puts chart for row 61
Calls chart for row 62	17,908	-1,003	1,10,698	16.44	2.25	-2.35	32,955	2.25	2.30	24,765	24,250.00	130	1,031.05	1,039.00	65	5.60	1,033.40	27.62	1	-	39	Puts chart for row 62
Calls chart for row 63	40,130	-2,712	3,02,911	16.97	2.05	-1.95	2,42,125	2.00	2.05	1,64,515	24,300.00	260	1,081.25	1,089.05	130	11.10	1,082.10	28.34	93	-23	519	Puts chart for row 63
Calls chart for row 64	9,776	-1,380	65,849	17.36	1.85	-1.75	27,625	1.85	1.90	25,870	24,350.00	130	1,130.75	1,138.60	65	10.70	1,132.80	29.47	16	4	50	Puts chart for row 64
Calls chart for row 65	30,119	-18,710	2,03,730	17.83	1.70	-1.55	3,35,140	1.65	1.70	1,14,985	24,400.00	195	1,179.20	1,188.40	195	-27.90	1,139.85	-	29	3	477	Puts chart for row 65
Calls chart for row 66	12,561	-2,528	69,765	18.28	1.55	-1.40	28,665	1.55	1.60	46,085	24,450.00	65	1,231.85	1,238.65	65	-39.25	1,174.00	-	7	-	26	Puts chart for row 66
Calls chart for row 67	1,01,252	6,707	3,10,377	18.85	1.50	-1.15	2,97,375	1.50	1.55	3,18,175	24,500.00	65	1,280.90	1,286.20	65	15.65	1,286.90	32.02	628	-208	2,791	Puts chart for row 67
Calls chart for row 68	8,593	903	29,852	19.17	1.30	-1.15	16,055	1.30	1.35	66,755	24,550.00	2,535	1,276.55	1,366.00	780	-	-	-	-	-	2	Puts chart for row 68
Calls chart for row 69	50,398	-4,985	97,519	19.62	1.20	-1.05	1,00,620	1.20	1.25	2,61,495	24,600.00	2,535	1,328.05	1,403.30	65	-	-	-	-	-	98	Puts chart for row 69
Calls chart for row 70	6,603	-30	25,070	19.94	1.10	-0.95	28,015	1.05	1.10	29,380	24,650.00	2,535	1,354.45	1,454.15	65	-	-	-	-	-	19	Puts chart for row 70
Calls chart for row 71	39,898	3,169	96,153	20.33	0.95	-0.90	5,37,290	0.95	1.00	2,67,540	24,700.00	260	1,478.50	1,487.50	65	-	1,390.00	-	4	-1	53	Puts chart for row 71
Calls chart for row 72	12,419	222	21,723	20.81	0.90	-0.90	64,090	0.90	0.95	69,030	24,750.00	780	1,488.80	1,592.95	2,470	-	-	22.20	-	-	1	Puts chart for row 72
Calls chart for row 73	33,170	3,194	78,994	21.28	0.80	-0.80	4,07,810	0.80	0.85	2,04,100	24,800.00	65	1,579.15	1,589.60	65	-78.05	1,489.00	-	4	-1	730	Puts chart for row 73
Calls chart for row 74	6,253	-217	21,606	21.60	0.80	-0.75	2,01,890	0.75	0.80	75,855	24,850.00	780	1,548.20	1,681.90	780	-	-	-	-	-	1	Puts chart for row 74
Calls chart for row 75	30,978	-2,380	1,10,660	22.03	0.75	-0.65	9,29,825	0.70	0.75	3,99,490	24,900.00	130	1,670.50	1,727.00	65	65.35	1,639.00	-	8	3	136	Puts chart for row 75
Calls chart for row 76	4,771	-128	13,465	22.61	0.75	-0.55	1,44,235	0.70	0.75	83,525	24,950.00	780	1,646.70	1,767.85	780	-	-	-	-	-	2	Puts chart for row 76
Calls chart for row 77	70,081	-2,065	2,28,878	23.18	0.70	-0.50	15,56,425	0.70	0.75	7,58,160	25,000.00	260	1,778.45	1,787.15	130	2.05	1,778.00	40.38	237	-132	2,306	Puts chart for row 77
Calls chart for row 78	8,962	-580	19,740	23.40	0.70	-0.40	2,57,075	0.60	0.65	1,15,700	25,050.00	780	1,780.80	1,882.15	780	-	-	53.71	-	-	9	Puts chart for row 78
Calls chart for row 79	21,393	-1,317	57,797	23.77	0.60	-0.50	2,22,365	0.60	0.65	4,68,390	25,100.00	780	1,817.75	1,929.10	780	-	-	-	-	-	7	Puts chart for row 79
Calls chart for row 80	4,612	-18	9,221	24.33	0.60	-0.45	30,225	0.60	0.65	69,160	25,150.00	780	1,899.05	1,959.15	780	397.20	2,035.00	64.05	2	2	4	Puts chart for row 80
Calls chart for row 81	15,462	-2,264	26,372	24.88	0.65	-0.35	1,82,065	0.60	0.65	1,40,270	25,200.00	65	1,971.45	1,990.60	130	132.60	2,095.00	66.66	5	-	93	Puts chart for row 81
Calls chart for row 82	4,613	-106	8,354	25.21	0.55	-0.40	40,690	0.55	0.60	97,240	25,250.00	780	2,006.35	2,134.00	780	-	-	-	-	-	1	Puts chart for row 82
Calls chart for row 83	4,267	-540	13,527	25.98	0.55	-0.40	87,035	0.55	0.60	25,025	25,300.00	780	2,039.40	2,135.60	780	-	-	37.09	-	-	5	Puts chart for row 83
Calls chart for row 84	1,261	-269	2,797	26.30	0.55	-0.35	18,005	0.55	0.60	20,865	25,350.00	845	2,092.55	2,170.65	780	-	-	45.11	-	-	9	Puts chart for row 84
Calls chart for row 85	1,566	-1,309	9,184	27.06	0.60	-0.30	62,660	0.55	0.60	17,355	25,400.00	130	2,163.45	2,207.30	780	172.30	2,145.00	-	1	-	36	Puts chart for row 85
Calls chart for row 86	513	-228	1,416	27.38	0.55	-0.35	7,670	0.55	0.65	6,110	25,450.00	780	2,198.45	2,283.10	780	89.55	2,170.00	-	1	-	1	Puts chart for row 86
Calls chart for row 87	30,181	-2,670	64,894	27.66	0.50	-0.30	7,10,125	0.50	0.55	8,27,060	25,500.00	65	2,272.85	2,288.50	65	124.80	2,249.80	33.28	53	31	458	Puts chart for row 87
Calls chart for row 88	455	-10	1,120	28.44	0.55	-0.30	2,015	0.55	0.60	2,340	25,550.00	780	2,270.85	2,400.80	780	-	-	49.36	-	-	8	Puts chart for row 88
Calls chart for row 89	2,816	-821	8,374	28.72	0.55	-0.25	23,140	0.50	0.55	43,680	25,600.00	130	2,372.75	2,392.25	65	-60.00	2,300.00	-	3	-2	26	Puts chart for row 89
Calls chart for row 90	335	-22	978	29.75	0.60	-0.20	49,790	0.50	0.60	1,690	25,650.00	780	2,392.15	2,486.75	780	-	-	49.91	-	-	9	Puts chart for row 90
Calls chart for row 91	2,267	-154	2,248	30.03	0.55	-0.20	6,825	0.50	0.60	4,160	25,700.00	65	2,460.10	2,631.00	780	-	-	46.46	-	-	3	Puts chart for row 91
Calls chart for row 92	388	-140	594	30.80	0.60	-0.20	7,800	0.50	0.60	3,835	25,750.00	780	2,492.60	2,589.50	780	-	-	-	-	-	1	Puts chart for row 92
Calls chart for row 93	1,848	-52	4,884	30.80	0.50	-0.25	11,050	0.50	0.55	10,985	25,800.00	65	2,570.75	2,592.40	195	135.35	2,650.00	71.22	3	-	4	Puts chart for row 93
Calls chart for row 94	356	-88	1,180	31.60	0.50	-0.25	1,820	0.50	0.55	2,275	25,850.00	780	2,580.35	2,715.40	780	-	-	55.52	-	-	4	Puts chart for row 94
Calls chart for row 95	2,355	-100	8,156	31.54	0.50	-0.20	96,850	0.45	0.50	22,035	25,900.00	780	2,645.15	2,732.65	780	280.00	2,760.00	75.02	2	-2	1	Puts chart for row 95
Calls chart for row 96	382	49	738	32.90	0.60	-0.10	520	0.55	0.60	10,855	25,950.00	780	2,689.05	2,836.35	780	-	-	-	-	-	1	Puts chart for row 96
Calls chart for row 97	10,289	-5,959	27,636	32.86	0.50	-0.20	90,740	0.50	0.55	70,200	26,000.00	130	2,773.30	2,789.35	65	-34.65	2,740.00	-	6	-5	590	Puts chart for row 97
Calls chart for row 98	865	-40	3,214	33.37	0.50	-0.20	6,890	0.50	0.55	4,550	26,050.00	780	2,799.90	2,894.45	2,470	-	-	-	-	-	1	Puts chart for row 98
Calls chart for row 99	7,604	2,342	17,553	33.88	0.45	-0.25	1,30,585	0.45	0.50	1,21,485	26,100.00	780	2,836.10	3,001.00	780	-	-	-	-	-	27	Puts chart for row 99
Total	19,81,546		2,03,44,884																1,83,67,288		20,94,507	
